index,SALE_PRC
0,440000.0
1,349000.0
2,800000.0
3,988000.0
4,755000.0
5,630000.0
6,1020000.0
7,850000.0
8,250000.0
9,1220000.0
10,1160000.0
11,260000.0
12,178000.0
13,250000.0
14,913500.0
15,159000.0
16,199000.0
17,590000.0
18,450000.0
19,1870000.0
20,1067300.0
21,1056000.0
22,900000.0
23,1015000.0
24,1235000.0
25,1587500.0
26,1265000.0
27,2450000.0
28,980000.0
29,1130000.0
30,1340000.0
31,1200000.0
32,1550000.0
33,1020000.0
34,975000.0
35,950000.0
36,1675000.0
37,120000.0
38,73000.0
39,86500.0
40,99300.0
41,1604000.0
42,1225000.0
43,1830000.0
44,1900000.0
45,1100000.0
46,1375000.0
47,1425000.0
48,1270000.0
49,1250000.0
50,1300000.0
51,1200000.0
52,2100000.0
53,900000.0
54,715000.0
55,1600000.0
56,1550000.0
57,1650000.0
58,1200000.0
59,1385000.0
60,1200000.0
61,1100000.0
62,2600000.0
63,1650000.0
64,1250000.0
65,1365000.0
66,2600000.0
67,1189900.0
68,1100000.0
69,1060000.0
70,925000.0
71,860000.0
72,900000.0
73,747000.0
74,875000.0
75,800000.0
76,940000.0
77,750000.0
78,1075000.0
79,897000.0
80,1100000.0
81,842000.0
82,2400000.0
83,355000.0
84,285000.0
85,252500.0
86,225000.0
87,108000.0
88,155000.0
89,118000.0
90,195000.0
91,210000.0
92,160000.0
93,155000.0
94,289000.0
95,180000.0
96,240000.0
97,250000.0
98,260000.0
99,285000.0
100,179000.0
101,175000.0
102,305000.0
103,216000.0
104,200000.0
105,291500.0
106,280000.0
107,269000.0
108,266500.0
109,260000.0
110,180000.0
111,300000.0
112,167500.0
113,230000.0
114,130000.0
115,135000.0
116,122000.0
117,155000.0
118,160000.0
119,247500.0
120,105000.0
121,185000.0
122,289000.0
123,145000.0
124,180000.0
125,275000.0
126,240000.0
127,276000.0
128,215000.0
129,300033.0
130,245000.0
131,225000.0
132,218400.0
133,230000.0
134,228500.0
135,171000.0
136,150000.0
137,278000.0
138,195000.0
139,120000.0
140,259000.0
141,250000.0
142,240000.0
143,170000.0
144,235000.0
145,266000.0
146,210000.0
147,336500.0
148,235000.0
149,132000.0
150,262000.0
151,229500.0
152,120000.0
153,289900.0
154,210000.0
155,245000.0
156,253500.0
157,241000.0
158,250000.0
159,165000.0
160,205000.0
161,240000.0
162,179000.0
163,145000.0
164,148900.0
165,158000.0
166,177500.0
167,215000.0
168,210000.0
169,267500.0
170,140000.0
171,165000.0
172,300000.0
173,324000.0
174,220000.0
175,300000.0
176,170700.0
177,231000.0
178,217000.0
179,180000.0
180,220000.0
181,315000.0
182,150000.0
183,165000.0
184,243000.0
185,249000.0
186,227000.0
187,270000.0
188,310000.0
189,170000.0
190,235000.0
191,170000.0
192,105000.0
193,200000.0
194,155000.0
195,170000.0
196,275000.0
197,340000.0
198,150000.0
199,155000.0
200,215000.0
201,343000.0
202,270000.0
203,149000.0
204,265000.0
205,287000.0
206,270000.0
207,200000.0
208,284000.0
209,238000.0
210,183000.0
211,300000.0
212,249900.0
213,197000.0
214,197000.0
215,185000.0
216,220000.0
217,198000.0
218,245000.0
219,125000.0
220,138000.0
221,113500.0
222,285000.0
223,218000.0
224,211000.0
225,247000.0
226,110000.0
227,294000.0
228,269000.0
229,191500.0
230,320000.0
231,209000.0
232,172000.0
233,200000.0
234,183000.0
235,160000.0
236,195000.0
237,165000.0
238,319500.0
239,152000.0
240,185000.0
241,175600.0
242,165000.0
243,274000.0
244,153900.0
245,211000.0
246,165000.0
247,211000.0
248,150000.0
249,263000.0
250,165000.0
251,185000.0
252,209500.0
253,140000.0
254,180000.0
255,256000.0
256,160000.0
257,250000.0
258,225000.0
259,160000.0
260,230000.0
261,235000.0
262,225000.0
263,230000.0
264,202000.0
265,218000.0
266,254000.0
267,186000.0
268,175000.0
269,270000.0
270,147000.0
271,138000.0
272,200000.0
273,289000.0
274,327000.0
275,220000.0
276,160000.0
277,155000.0
278,195000.0
279,149900.0
280,235000.0
281,232000.0
282,225000.0
283,229000.0
284,165800.0
285,145000.0
286,190000.0
287,185000.0
288,200000.0
289,200000.0
290,143000.0
291,190000.0
292,240000.0
293,140000.0
294,210000.0
295,182000.0
296,230000.0
297,215000.0
298,225000.0
299,199000.0
300,350000.0
301,277000.0
302,160100.0
303,230000.0
304,129000.0
305,140000.0
306,257500.0
307,220000.0
308,198000.0
309,200000.0
310,135000.0
311,369000.0
312,175000.0
313,195000.0
314,180000.0
315,192000.0
316,130000.0
317,290000.0
318,150000.0
319,140000.0
320,140000.0
321,175000.0
322,240000.0
323,250000.0
324,213000.0
325,210000.0
326,147100.0
327,284000.0
328,200000.0
329,315000.0
330,247000.0
331,196000.0
332,315000.0
333,149000.0
334,329000.0
335,160000.0
336,176000.0
337,247000.0
338,235000.0
339,251000.0
340,240000.0
341,303000.0
342,200000.0
343,171000.0
344,266000.0
345,260000.0
346,104700.0
347,209000.0
348,209000.0
349,335000.0
350,215000.0
351,198000.0
352,265000.0
353,205000.0
354,297000.0
355,245000.0
356,128000.0
357,230000.0
358,235000.0
359,280000.0
360,476500.0
361,315000.0
362,339000.0
363,232000.0
364,250000.0
365,249000.0
366,220000.0
367,405200.0
368,225000.0
369,150000.0
370,420500.0
371,379300.0
372,235000.0
373,360000.0
374,240000.0
375,385000.0
376,320000.0
377,290000.0
378,360000.0
379,265000.0
380,236500.0
381,343000.0
382,126600.0
383,340000.0
384,230000.0
385,190000.0
386,220000.0
387,293000.0
388,227000.0
389,235000.0
390,252500.0
391,170000.0
392,201000.0
393,355000.0
394,224000.0
395,310000.0
396,239000.0
397,180000.0
398,243000.0
399,195000.0
400,274900.0
401,330000.0
402,315300.0
403,220000.0
404,255000.0
405,200000.0
406,168000.0
407,335000.0
408,300000.0
409,155500.0
410,357500.0
411,285000.0
412,179000.0
413,460000.0
414,200000.0
415,280000.0
416,150000.0
417,151500.0
418,300000.0
419,210000.0
420,235000.0
421,201000.0
422,205000.0
423,187500.0
424,199300.0
425,160000.0
426,265000.0
427,255200.0
428,260000.0
429,187900.0
430,205000.0
431,270000.0
432,195000.0
433,200000.0
434,216500.0
435,253000.0
436,190000.0
437,550000.0
438,237000.0
439,145000.0
440,170000.0
441,150000.0
442,345000.0
443,177500.0
444,178000.0
445,285000.0
446,365000.0
447,405000.0
448,230000.0
449,300000.0
450,225000.0
451,400000.0
452,231000.0
453,260000.0
454,610000.0
455,749000.0
456,215000.0
457,130000.0
458,200000.0
459,270000.0
460,219800.0
461,230000.0
462,300000.0
463,108000.0
464,338000.0
465,226800.0
466,259800.0
467,236400.0
468,245000.0
469,405000.0
470,210000.0
471,145000.0
472,300000.0
473,165000.0
474,218000.0
475,133000.0
476,365000.0
477,270000.0
478,252000.0
479,175000.0
480,72000.0
481,250000.0
482,127000.0
483,225000.0
484,360000.0
485,300000.0
486,190000.0
487,180000.0
488,108000.0
489,210000.0
490,206900.0
491,178000.0
492,290000.0
493,445000.0
494,140000.0
495,325000.0
496,240000.0
497,420000.0
498,320000.0
499,141000.0
500,185000.0
501,620000.0
502,230000.0
503,215000.0
504,157000.0
505,280000.0
506,324000.0
507,170000.0
508,187500.0
509,220000.0
510,310000.0
511,350000.0
512,317000.0
513,293000.0
514,202200.0
515,400000.0
516,295000.0
517,295000.0
518,286000.0
519,151000.0
520,397000.0
521,170000.0
522,218000.0
523,170000.0
524,169500.0
525,193000.0
526,291000.0
527,320000.0
528,221500.0
529,182500.0
530,92500.0
531,198000.0
532,300000.0
533,250000.0
534,138000.0
535,239000.0
536,174000.0
537,182500.0
538,334900.0
539,395000.0
540,195000.0
541,250000.0
542,169000.0
543,295000.0
544,340000.0
545,230000.0
546,220000.0
547,86200.0
548,219000.0
549,312000.0
550,130000.0
551,201000.0
552,169000.0
553,235000.0
554,385000.0
555,85000.0
556,360000.0
557,335000.0
558,235000.0
559,160000.0
560,147000.0
561,92500.0
562,150000.0
563,273000.0
564,219000.0
565,170000.0
566,392000.0
567,235000.0
568,180000.0
569,130000.0
570,162500.0
571,285000.0
572,340000.0
573,455000.0
574,295000.0
575,155000.0
576,330000.0
577,120000.0
578,340000.0
579,221000.0
580,345000.0
581,196000.0
582,300000.0
583,220000.0
584,160000.0
585,163000.0
586,215000.0
587,266000.0
588,344900.0
589,262500.0
590,254000.0
591,305000.0
592,320000.0
593,285000.0
594,230000.0
595,161000.0
596,289900.0
597,245000.0
598,220000.0
599,305000.0
600,200000.0
601,404000.0
602,170000.0
603,300000.0
604,159000.0
605,340000.0
606,400000.0
607,310000.0
608,350000.0
609,290000.0
610,265000.0
611,388000.0
612,389000.0
613,380000.0
614,381300.0
615,185000.0
